<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,600773,西藏城投,8.85,8.87,8.63,8.65,2456667
20140122,600774,汉商集团,8.35,8.45,8.09,8.19,726284
20140122,600775,南京熊猫,9.19,9.33,8.83,8.87,8601521
20140122,600776,东方通信,6.28,6.32,6.1,6.17,9067318
20140122,600777,新潮实业,7.25,7.32,6.78,6.85,25722086
20140122,600778,友好集团,8.73,8.74,8.42,8.5,3602414
20140122,600779,水井坊,9.32,9.78,8.87,8.95,10746737
20140122,600780,通宝能源,4.59,4.61,4.47,4.5,3831130
20140122,600781,上海辅仁,13.4,13.42,13.14,13.15,1388464
20140122,600782,新钢股份,2.76,2.77,2.69,2.7,1891884
20140122,600783,鲁信创投,16.29,16.31,15.6,15.66,5970109
20140122,600784,鲁银投资,5.1,5.11,5,5.01,6159998
20140122,600785,新华百货,11.11,11.12,10.82,10.87,2311410
20140122,600787,中储股份,10.28,10.3,10.09,10.2,10851725
20140122,600789,鲁抗医药,5.01,5.03,4.9,4.95,15468812
20140122,600790,轻纺城,5.92,5.95,5.8,5.82,3971071
20140122,600791,京能置业,4.67,4.73,4.49,4.5,4009654
20140122,600792,云煤能源,8.39,8.4,8.22,8.22,743490
20140122,600793,ST宜纸,9.41,9.45,9.26,9.27,331289
20140122,600794,保税科技,7.06,7.14,6.89,6.93,4357522
20140122,600795,国电电力,2.32,2.33,2.26,2.27,53017278
20140122,600796,钱江生化,5.15,5.16,5.02,5.05,2124875
20140122,600797,浙大网新,6.44,6.6,6.2,6.29,51252364
20140122,600798,宁波海运,3.38,3.38,3.31,3.31,3836613
20140122,600800,天津磁卡,5.03,5.08,4.86,4.88,7911632
20140122,600801,华新水泥,11.11,11.27,11.01,11.27,9998301
20140122,600802,福建水泥,5.52,5.53,5.33,5.33,3168371
20140122,600803,威远生化,11.13,11.16,10.5,10.6,5293560
20140122,600804,鹏博士,15.25,15.35,14.6,14.65,58667191
20140122,600805,悦达投资,10.13,10.14,9.8,9.81,13283374
20140122,600806,昆明机床,4.27,4.3,4.15,4.2,2213788
20140122,600807,天业股份,7.11,7.15,6.85,6.89,1915159
20140122,600808,马钢股份,1.61,1.62,1.58,1.58,10910696
20140122,600809,山西汾酒,18.8,19.06,18.15,18.18,7894397
20140122,600810,神马股份,6.06,6.07,5.88,5.92,5071114
20140122,600811,东方集团,6.04,6.07,5.9,5.92,17095451
20140122,600812,华北制药,4.77,4.78,4.66,4.69,8778956
20140122,600814,杭州解百,6.55,6.56,6.36,6.41,1058803
20140122,600815,厦工股份,3.63,3.64,3.55,3.55,4333923
20140122,600816,安信信托,15.25,15.27,14.67,14.73,6010848
20140122,600817,ST宏盛,8.01,8.04,7.8,7.91,1494159
20140122,600818,中路股份,12.26,12.27,12.01,12.01,1158610
20140122,600819,耀皮玻璃,5.88,5.88,5.66,5.7,1295317
20140122,600820,隧道股份,8.56,8.58,8.37,8.4,5332182
20140122,600821,津劝业,4.46,4.48,4.33,4.34,4627029
20140122,600822,上海物贸,9.86,9.86,8.94,9.06,23079210
20140122,600823,世茂股份,8.99,9.04,8.57,8.65,8384111
20140122,600824,益民集团,5.08,5.08,4.88,4.9,9270952
20140122,600825,新华传媒,8.59,8.61,8.16,8.22,28533251
20140122,600826,兰生股份,13.93,13.95,13.35,13.5,3877850
20140122,600827,友谊股份,8.7,8.8,8.38,8.4,14480639
20140122,600828,成商集团,5,5.02,4.87,4.87,2237267
20140122,600829,三精制药,6.59,6.6,6.42,6.5,1147725
20140122,600830,香溢融通,9.23,9.28,9.03,9.08,11561061
20140122,600831,广电网络,7.64,7.65,7.43,7.45,11165419
20140122,600832,东方明珠,9.72,9.74,9.38,9.52,35085712
20140122,600833,第一医药,7.98,7.99,7.82,7.84,2103444
20140122,600834,申通地铁,6.36,6.38,6.23,6.25,1462034
20140122,600835,上海机电,19.53,19.53,18.3,18.3,14049305
20140122,600836,界龙实业,8.41,8.46,8.23,8.25,3839545
20140122,600837,海通证券,10.76,10.81,10.41,10.45,86936363
20140122,600838,上海九百,7.09,7.1,6.75,6.75,11057361
20140122,600839,四川长虹,3.62,3.66,3.37,3.41,389982262
20140122,600841,上柴股份,10.45,10.49,10.21,10.3,968496
20140122,600843,上工申贝,8.9,8.96,8.59,8.62,4918921
20140122,600844,丹化科技,7.22,7.26,7.06,7.1,4155967
20140122,600845,宝信软件,28.32,28.58,27.83,28.35,1295595
20140122,600846,同济科技,5.51,5.53,5.39,5.39,6084797
20140122,600847,万里股份,15.18,15.28,14.76,14.93,214022
20140122,600848,自仪股份,6.42,6.46,6.25,6.27,2544793
20140122,600850,华东电脑,18.62,18.78,18.03,18.2,1521397
20140122,600851,海欣股份,6.34,6.37,6.18,6.2,4341231
20140122,600853,龙建股份,2.59,2.59,2.53,2.53,1897023
20140122,600854,春兰股份,4.19,4.19,4.08,4.11,3393536
20140122,600855,航天长峰,16.92,16.98,15.83,15.89,22996279
20140122,600857,工大首创,9.14,9.24,8.87,8.9,1973958
20140122,600858,银座股份,7.03,7.05,6.86,6.87,6632136
20140122,600859,王府井,16.46,16.47,15.86,15.96,4986344
20140122,600860,北人股份,7.56,7.77,7.25,7.25,2000982
20140122,600861,北京城乡,7.67,7.72,7.53,7.6,791884
20140122,600862,南通科技,3.08,3.08,3,3,3256031
20140122,600863,内蒙华电,3.33,3.34,3.22,3.22,23937583
20140122,600864,哈投股份,8.29,8.3,8.02,8.06,5375265
20140122,600865,百大集团,6.44,6.46,6.29,6.33,9646290
20140122,600866,星湖科技,4.2,4.22,4.12,4.15,4699137
20140122,600867,通化东宝,14.99,15.33,14.73,15.18,12066980
20140122,600868,梅雁吉祥,2.25,2.25,2.2,2.22,9645283
20140122,600869,远东电缆,6.8,6.95,6.6,6.7,3802968
20140122,600870,厦华电子,4.8,4.8,4.66,4.74,4545597
20140122,600871,仪征化纤,2.78,2.81,2.71,2.73,6209198
20140122,600872,中炬高新,11.28,11.38,10.61,10.7,12945156
20140122,600873,梅花集团,5.47,5.49,5.28,5.34,8356991
20140122,600874,创业环保,7.54,7.56,7.35,7.38,5456915
20140122,600875,东方电气,11.47,11.51,11.24,11.33,8263849
20140122,600876,洛阳玻璃,4.87,4.9,4.73,4.8,743453
20140122,600877,中国嘉陵,3.29,3.35,3.23,3.24,6683411
20140122,600879,航天电子,9.12,9.14,8.88,8.96,27181523
20140122,600880,博瑞传播,19.5,19.58,18.88,19.09,33468316
20140122,600881,亚泰集团,3.88,3.89,3.79,3.81,11036156
20140122,600882,华联矿业,7.36,7.39,7.16,7.21,2077072
20140122,600883,博闻科技,5.28,5.29,5.14,5.17,1012545
20140122,600884,杉杉股份,12.03,12.1,11.71,11.86,3388542
20140122,600885,宏发股份,17.45,17.59,17.06,17.18,1255052
20140122,600886,国投电力,4.03,4.08,3.98,3.99,35516974
20140122,600887,伊利股份,37.5,37.61,36.25,36.61,18505463
20140122,600888,新疆众和,5.42,5.42,5.3,5.3,2647915
20140122,600889,南京化纤,4.97,5,4.86,4.89,2660237
20140122,600891,秋林集团,5.66,5.68,5.48,5.48,2472538
20140122,600892,宝诚股份,13.1,13.1,12.86,12.91,215248
20140122,600893,航空动力,20.15,20.3,19.71,19.84,14471183
20140122,600894,广日股份,13.7,13.87,13.41,13.43,2105349
20140122,600895,张江高科,6.59,6.62,6.36,6.36,9475226
20140122,600896,中海海盛,3.56,3.57,3.43,3.46,5709001
20140122,600897,厦门空港,14.43,14.48,14.2,14.23,1389228
20140122,600898,三联商社,5.01,5.01,4.55,4.59,5317547
20140122,600900,长江电力,6.08,6.11,6.02,6.05,13723047
20140122,600960,渤海活塞,7.46,7.46,7.29,7.31,1120671
20140122,600961,*ST株冶,5.14,5.15,5.08,5.08,2701859
20140122,600962,国投中鲁,5.66,5.7,5.58,5.58,1858263
20140122,600963,岳阳林纸,3.17,3.2,3.09,3.09,9295681
20140122,600965,福成五丰,6.61,6.64,6.48,6.49,5823522
20140122,600966,博汇纸业,4.54,4.56,4.48,4.48,2216117
20140122,600967,北方创业,17.71,18.89,17.68,18.62,16145645
20140122,600969,郴电国际,11.95,12.1,11.8,11.99,1188381
20140122,600970,中材国际,7.63,7.66,7.42,7.45,4688821
20140122,600971,恒源煤电,6.26,6.27,6.05,6.1,3776889
20140122,600973,宝胜股份,8.12,8.16,7.82,7.84,8725441
20140122,600975,新五丰,5.9,5.9,5.74,5.75,2268485
20140122,600976,武汉健民,23.69,23.94,23.42,23.63,2231806
20140122,600978,宜华木业,6,6.03,5.88,5.92,21807404
20140122,600979,广安爱众,4.74,4.78,4.67,4.69,1885303
20140122,600980,*ST北磁,10.64,10.67,10.46,10.46,620811
20140122,600981,汇鸿股份,3.66,3.68,3.57,3.61,2091878
20140122,600982,宁波热电,11.56,11.58,11.3,11.47,609551
20140122,600983,合肥三洋,13.97,14,13.23,13.23,2639670
20140122,600984,建设机械,5.38,5.49,5.2,5.29,1581833
20140122,600985,雷鸣科化,11.89,11.97,11.57,11.57,1410598
20140122,600986,科达股份,4.3,4.31,4.18,4.21,2053507
20140122,600987,航民股份,5.58,5.58,5.4,5.45,2732360
20140122,600988,赤峰黄金,11.56,11.69,11.31,11.31,3637216
20140122,600990,四创电子,27.1,27.3,26.17,26.18,1351925
20140122,600992,贵绳股份,6.95,6.96,6.6,6.67,1108311
20140122,600993,马应龙,15.9,15.93,15.5,15.5,2931191
20140122,600995,文山电力,4.7,4.7,4.59,4.6,3172170
20140122,600997,开滦股份,4.86,4.88,4.72,4.75,3769018
20140122,600998,九州通,17.27,17.79,17.01,17.29,6620565
