600270,20001228,WYFZ-外运发展
600271,20030711,HTXX-航天信息
600272,19970108,KKSY-开开实业
600273,20030627,HFFZ-华芳纺织
600275,20000810,WCY -武昌鱼  
600276,20001018,HRYY-恒瑞医药
600277,20000725,YLNY-亿利能源
600278,20000712,DFCY-东方创业
600279,20000731,ZQGJ-重庆港九
600280,20000926,NJZS-南京中商
600281,20001109,THGF-太化股份
600282,20000919,NGGF-南钢股份
600283,20001018,QJSL-钱江水利
600284,20040316,PDJS-浦东建设
600285,20001018,LRZY-羚锐制药
600287,20000901,JSST-江苏舜天
600288,20001129,DHKJ-大恒科技
600289,20000720,YYXT-亿阳信通
600290,20001106,HYDQ-华仪电气
600291,20000731,XSGF-西水股份
600292,20001101,ZDYD-中电远达
600293,20000919,SXXC-三峡新材
600295,19951020,EEDS-鄂尔多斯
600297,20001116,MLYY-美罗药业
600298,20000818,AQJM-安琪酵母
600299,20000420,LXXC-蓝星新材
600300,20000630,WWGF-维维股份
600301,20000712,*STN-*ST南化 
600302,20001213,BZGF-标准股份
600303,20001226,SGGF-曙光股份
600305,20010206,HSCY-恒顺醋业
600306,20001226,SYC -商业城  
600307,20001220,JGHX-酒钢宏兴
600308,20000928,HTGF-华泰股份
600309,20010105,WHHX-万华化学
600310,20010228,GDDL-桂东电力
600311,20010626,RHSY-荣华实业
600312,20010221,PGDQ-平高电气
600313,20010119,ZNZY-中农资源
600315,20010315,SHJH-上海家化
600316,20001215,HDHK-洪都航空
600317,20020131,YKG -营口港  
600318,20001208,CDGF-巢东股份
600319,20010326,*STY-*ST亚星 
600320,19970805,ZHZG-振华重工
600321,20010524,GDJS-国栋建设
600322,20010910,TFFZ-天房发展
600323,20001225,NHFZ-南海发展
600325,20040225,HFGF-华发股份
600326,20010116,XCTL-西藏天路
600327,20020625,DDF -大东方  
600328,20001222,LTSY-兰太实业
600329,20010606,ZXYY-中新药业
600330,20010118,TTGF-天通股份
600331,20011220,HDGF-宏达股份
600332,20010206,BYS -白云山  
600333,20001211,CCRQ-长春燃气
600335,20010305,GJQC-国机汽车
600336,20001229,AKM -澳柯玛  
600337,20001127,MKGF-美克股份
600338,20001227,XCZF-西藏珠峰
600339,20001225,TLGX-天利高新
600340,20031230,HXXF-华夏幸福
600343,20030408,HTDL-航天动力
600345,20001222,CJTX-长江通信
600346,20010820,DXS -大橡塑  
600348,20030821,YQMY-阳泉煤业
600350,20020318,SDGS-山东高速
600351,20020926,YBYY-亚宝药业
600352,20030801,ZJLS-浙江龙盛
600353,20021120,XGGF-旭光股份
600354,20040115,DHZY-敦煌种业
600355,20020613,JLDZ-精伦电子
600356,20010419,HFZY-恒丰纸业
600358,20000922,*STL-*ST联合 
600359,19990429,XNKF-新农开发
600360,20010316,HWDZ-华微电子
600361,20011129,HLZC-华联综超
600362,20020111,JXTY-江西铜业
600363,20010329,LCGD-联创光电
600365,20010115,TPGF-通葡股份
600366,20001030,NBYS-宁波韵升
600367,20010320,HXFZ-红星发展
600368,20001221,WZJT-五洲交通
600369,20010109,XNZQ-西南证券
600370,20030306,SFX -三房巷  
600371,20020916,WXDN-万向德农
600372,20010706,ZHDZ-中航电子
600373,20020304,ZWCM-中文传媒
600375,20030401,HLXM-华菱星马
600376,20010312,SKGF-首开股份
600377,20010116,NHGS-宁沪高速
600378,20010111,TKGF-天科股份
600379,20020116,BGGF-宝光股份
600380,20010608,JKY -健康元  
600381,20010508,*STX-*ST贤成 
600382,20010118,GDMZ-广东明珠
600383,20010412,JDJT-金地集团
600386,20010216,BBCM-北巴传媒
600387,20040218,HYGF-海越股份
600388,20001229,LJHB-龙净环保
600389,20010110,JSGF-江山股份
600390,20010115,JRKJ-金瑞科技
600391,20011212,CFKJ-成发科技
600392,20030529,SHZY-盛和资源
600393,20010319,DHSY-东华实业
600395,20010531,PJGF-盘江股份
600396,20010328,JSGF-金山股份
600397,20020702,AYMY-安源煤业
600398,20001228,KNKJ-凯诺科技
600399,20001229,FSTG-抚顺特钢
600400,20010108,HDGF-红豆股份
600401,20030924,HRGF-海润光伏
